wavelength (nm),1090 p transmit,1090 p reflect,1090 s transmit,1090 s reflect,3070 p transmit,3070 p reflect,3070 s transmit,3070 s reflect,5050 p transmit,5050 p reflect,5050 s transmit,5050 s reflect,7030 p transmit,7030 p reflect,7030 s transmit,7030 s reflect,9010 p transmit,9010 p reflect,9010 s transmit,9010 s reflect
250,0.69743439,0.728610578,0.688271802,0.050659,0.1508026,0.5413208,0.661377,0.729926222,1.167816818,2.062280327,1.025642224,2.133920699,0.710895638,0.728441538,0.720808135,0.670652003,0.72053436,0.1849976,0.738064,0.734857481
251,0.738552533,0.2788391,0.3738403,0.0678711,0.151535,0.1980438,0.2177887,0.4564972,1.128765836,2.015445491,1.232294992,2.097297437,0.743180742,0.689365077,0.697552608,0.722013323,0.3050995,0.0091858,0.739501956,0.4883118
252,0.1790924,0.4082489,0.0379486,0.3846283,0.6077881,0.631424,0.2804871,0.2206421,1.126643971,2.042005565,1.088610917,2.120493256,0.710865165,0.699484683,0.692133146,0.71661672,0.4930267,0.5647888,0.1909943,0.689646064
253,0.5126343,0.724460178,0.732638933,0.715518894,0.7372131,0.742350222,0.3564301,0.5718079,1.095469892,2.38841027,1.05212988,2.041608699,0.720793438,0.722358362,0.425427496,0.697075822,0.2501373,0.427948,0.5379944,0.687167772
254,0.2387695,0.689193227,0.670996227,0.4066925,0.672968094,0.0802917,0.6511688,0.553772,1.031086832,2.30501011,1.171047002,2.065642849,0.69931376,0.704879054,0.731050515,0.717048598,0.744845956,0.697000375,0.4807892,0.1138306
255,0.09645844,0.691341948,0.1180687,0.65137291,0.19194794,0.44593048,0.56919098,0.723702329,1.294952601,2.47038883,1.166504592,2.175816223,0.739964158,0.462826431,0.204179838,0.087863699,0.02661133,0.6180191,0.11423683,0.60826874
256,0.498095483,0.130245507,0.38861841,0.669848187,0.669759601,0.279794455,0.075606883,0.699222668,1.133355379,2.409186781,1.171902105,2.033531517,0.700915343,0.21743384,0.308807701,0.695376279,0.717292739,0.72685974,0.685269077,0.225766823
257,0.736002852,0.690102158,0.702527258,0.699215736,0.105371632,0.746339291,0.128964186,0.697476632,1.056827422,2.178169027,1.129990578,2.000531612,0.691745837,0.711239009,0.746228854,0.351494998,0.297504336,0.704017969,0.143433392,0.664675593
258,0.704947723,0.667731068,0.741170553,0.725052304,0.742985981,0.714063711,0.729944971,0.508135378,1.264664263,2.097162761,1.139120892,2.266504586,0.637132227,0.710208148,0.670213832,0.224741221,0.344199717,0.748911212,0.057792671,0.021748891
259,0.731934958,0.296314389,0.488897592,0.295061678,0.707966627,0.723829468,0.694377292,0.006431655,1.210681394,2.117370769,1.062859677,2.136547133,0.731006811,0.083671071,0.716801465,0.691480743,0.288738489,0.056000125,0.726448844,0.713719816
260,0.691110601,0.704132506,0.679280223,0.601607382,0.646795869,0.731705878,0.726028066,0.646036327,1.388927162,2.156465098,1.095218278,2.059715945,0.727191632,0.736755455,0.266538829,0.726599052,0.705899313,0.684210177,0.627762139,0.57474339
261,0.690888302,0.332356304,0.723729445,0.714172956,0.724693766,0.723936146,0.565627933,0.746727412,1.279029757,2.15248698,1.102783345,2.077718079,0.05498695,0.387372673,0.176387414,0.021002827,0.629111707,0.527099073,0.725474379,0.682864613
262,0.729886005,0.683910644,0.679196391,0.376900137,0.084961005,0.11559435,0.690355136,0.720132427,1.325407565,2.104182005,1.098908946,2.077585161,0.399166822,0.734996377,0.357896775,0.679624241,0.155444592,0.69779571,0.68669974,0.360912979
263,0.735068192,0.690420277,0.720608323,0.496737421,0.747728817,0.448860824,0.503852844,0.705904485,1.131761015,2.542309046,1.106863432,2.194857076,0.42668885,0.576602995,0.012146959,0.676069195,0.702084154,0.379009485,0.188307583,0.690979841
264,0.704941072,0.746344007,0.033054266,0.70951393,0.618319094,0.429593593,0.698293178,0.677315096,1.317828119,2.402335733,1.029060673,2.251614362,0.678612576,0.746116285,0.215637237,0.695351964,0.554248989,0.741707295,0.005233024,0.517744958
265,0.718508474,0.726281467,0.707314173,0.02951771,0.706510459,0.685594032,0.700707853,0.083840959,1.205798373,2.076360337,1.266103178,2.088704228,0.746835073,0.674552993,0.459319532,0.675852882,0.732689033,0.720418043,0.590441167,0.732629288
266,0.671792091,0.697087345,0.734645632,0.732014179,0.768474894,0.710966887,0.689313919,0.690848362,1.236233205,2.375973523,1.070143342,2.510612011,0.711343765,0.737070449,0.12799494,0.748961131,0.707481082,0.684830366,0.703040029,0.743662642
267,0.742190834,0.06416028,0.749132912,0.680943769,0.69713203,0.690859278,0.324265361,0.674420707,1.322987318,2.014856427,1.175216824,2.029894222,0.71723942,0.718547227,0.682814033,0.478893995,0.703507788,0.679651953,0.68870794,0.687591745
268,0.677529641,0.140279204,0.707658907,0.748005959,0.691253751,0.736282958,0.686070279,0.67602343,1.406066716,2.398650706,1.116463669,2.066727735,0.730306837,0.68811984,0.698011292,0.678311987,0.725265715,0.745053088,0.741341006,0.669568641
269,0.674527707,0.683258108,0.247336552,0.450975448,0.037947983,0.052321557,0.705305437,0.391392648,1.404396474,2.095218703,1.140399873,2.193272397,0.718261468,0.667209157,0.174560025,0.261051387,0.036325816,0.196001753,0.666123331,0.749368343
270,0.430188894,0.667497993,0.319632322,0.708430644,0.710694803,0.219721183,0.257599324,0.714136571,1.351130784,2.418906599,1.281563401,2.47264877,0.738456519,0.677120533,0.707386148,0.711733633,0.677232719,0.685028097,0.09958332,0.704913437
